RRinterval	annotation
870.000000	0
850.000000	0
880.000000	0
915.000000	0
900.000000	0
875.000000	0
915.000000	0
935.000000	0
930.000000	0
900.000000	0
895.000000	0
920.000000	0
925.000000	0
895.000000	0
870.000000	0
895.000000	0
900.000000	0
885.000000	0
870.000000	0
860.000000	0
895.000000	0
900.000000	0
880.000000	0
840.000000	0
885.000000	0
895.000000	0
890.000000	0
865.000000	0
875.000000	0
880.000000	0
905.000000	0
880.000000	0
855.000000	0
865.000000	0
885.000000	0
870.000000	0
865.000000	0
870.000000	0
880.000000	0
885.000000	0
870.000000	0
870.000000	0
890.000000	0
910.000000	0
895.000000	0
855.000000	0
895.000000	0
910.000000	0
885.000000	0
860.000000	0
895.000000	0
905.000000	0
900.000000	0
875.000000	0
875.000000	0
895.000000	0
890.000000	0
875.000000	0
880.000000	0
905.000000	0
910.000000	0
890.000000	0
860.000000	0
885.000000	0
905.000000	0
880.000000	0
860.000000	0
855.000000	0
875.000000	0
885.000000	0
875.000000	0
855.000000	0
880.000000	0
900.000000	0
880.000000	0
860.000000	0
905.000000	0
930.000000	0
910.000000	0
870.000000	0
910.000000	0
930.000000	0
900.000000	0
880.000000	0
890.000000	0
925.000000	0
910.000000	0
895.000000	0
890.000000	0
885.000000	0
905.000000	0
875.000000	0
855.000000	0
850.000000	0
865.000000	0
880.000000	0
865.000000	0
840.000000	0
885.000000	0
885.000000	0
875.000000	0
860.000000	0
860.000000	0
880.000000	0
890.000000	0
865.000000	0
850.000000	0
880.000000	0
900.000000	0
870.000000	0
865.000000	0
870.000000	0
900.000000	0
900.000000	0
870.000000	0
880.000000	0
890.000000	0
920.000000	0
890.000000	0
850.000000	0
885.000000	0
905.000000	0
875.000000	0
860.000000	0
870.000000	0
900.000000	0
905.000000	0
895.000000	0
885.000000	0
910.000000	0
915.000000	0
885.000000	0
880.000000	0
890.000000	0
910.000000	0
880.000000	0
860.000000	0
885.000000	0
910.000000	0
875.000000	0
860.000000	0
865.000000	0
890.000000	0
875.000000	0
860.000000	0
875.000000	0
910.000000	0
885.000000	0
845.000000	0
890.000000	0
910.000000	0
885.000000	0
850.000000	0
890.000000	0
895.000000	0
885.000000	0
865.000000	0
855.000000	0
870.000000	0
875.000000	0
870.000000	0
835.000000	0
875.000000	0
900.000000	0
880.000000	0
865.000000	0
880.000000	0
895.000000	0
895.000000	0
870.000000	0
865.000000	0
880.000000	0
895.000000	0
875.000000	0
845.000000	0
880.000000	0
875.000000	0
860.000000	0
835.000000	0
870.000000	0
885.000000	0
860.000000	0
835.000000	0
870.000000	0
890.000000	0
865.000000	0
855.000000	0
885.000000	0
895.000000	0
895.000000	0
870.000000	0
850.000000	0
880.000000	0
880.000000	0
870.000000	0
855.000000	0
870.000000	0
905.000000	0
910.000000	0
880.000000	0
885.000000	0
895.000000	0
895.000000	0
870.000000	0
865.000000	0
875.000000	0
885.000000	0
865.000000	0
835.000000	0
865.000000	0
880.000000	0
880.000000	0
860.000000	0
850.000000	0
865.000000	0
880.000000	0
860.000000	0
840.000000	0
870.000000	0
885.000000	0
880.000000	0
845.000000	0
890.000000	0
910.000000	0
910.000000	0
880.000000	0
865.000000	0
885.000000	0
900.000000	0
875.000000	0
840.000000	0
870.000000	0
890.000000	0
870.000000	0
845.000000	0
885.000000	0
895.000000	0
885.000000	0
870.000000	0
875.000000	0
890.000000	0
890.000000	0
875.000000	0
870.000000	0
885.000000	0
910.000000	0
875.000000	0
850.000000	0
885.000000	0
885.000000	0
885.000000	0
865.000000	0
850.000000	0
870.000000	0
890.000000	0
870.000000	0
845.000000	0
885.000000	0
890.000000	0
875.000000	0
845.000000	0
880.000000	0
905.000000	0
905.000000	0
870.000000	0
860.000000	0
860.000000	0
880.000000	0
865.000000	0
835.000000	0
860.000000	0
875.000000	0
910.000000	0
895.000000	0
880.000000	0
910.000000	0
930.000000	0
900.000000	0
865.000000	0
900.000000	0
910.000000	0
900.000000	0
880.000000	0
860.000000	0
885.000000	0
895.000000	0
880.000000	0
890.000000	0
865.000000	0
890.000000	0
900.000000	0
890.000000	0
875.000000	0
865.000000	0
900.000000	0
920.000000	0
900.000000	0
870.000000	0
900.000000	0
920.000000	0
895.000000	0
885.000000	0
885.000000	0
895.000000	0
905.000000	0
890.000000	0
875.000000	0
880.000000	0
900.000000	0
880.000000	0
855.000000	0
865.000000	0
895.000000	0
910.000000	0
895.000000	0
875.000000	0
920.000000	0
945.000000	0
945.000000	0
905.000000	0
890.000000	0
900.000000	0
910.000000	0
895.000000	0
870.000000	0
870.000000	0
880.000000	0
895.000000	0
885.000000	0
855.000000	0
865.000000	0
880.000000	0
890.000000	0
875.000000	0
850.000000	0
880.000000	0
895.000000	0
885.000000	0
875.000000	0
875.000000	0
890.000000	0
890.000000	0
875.000000	0
845.000000	0
885.000000	0
905.000000	0
890.000000	0
870.000000	0
915.000000	0
960.000000	0
925.000000	0
895.000000	0
925.000000	0
935.000000	0
895.000000	0
865.000000	0
895.000000	0
910.000000	0
885.000000	0
870.000000	0
870.000000	0
900.000000	0
880.000000	0
875.000000	0
870.000000	0
890.000000	0
890.000000	0
865.000000	0
870.000000	0
885.000000	0
900.000000	0
870.000000	0
845.000000	0
880.000000	0
880.000000	0
860.000000	0
850.000000	0
855.000000	0
880.000000	0
880.000000	0
860.000000	0
865.000000	0
890.000000	0
910.000000	0
880.000000	0
865.000000	0
895.000000	0
910.000000	0
890.000000	0
860.000000	0
890.000000	0
885.000000	0
875.000000	0
830.000000	0
865.000000	0
875.000000	0
865.000000	0
855.000000	0
865.000000	0
890.000000	0
900.000000	0
885.000000	0
855.000000	0
885.000000	0
910.000000	0
890.000000	0
865.000000	0
870.000000	0
895.000000	0
895.000000	0
880.000000	0
870.000000	0
890.000000	0
905.000000	0
880.000000	0
840.000000	0
865.000000	0
900.000000	0
870.000000	0
840.000000	0
875.000000	0
890.000000	0
885.000000	0
860.000000	0
860.000000	0
870.000000	0
890.000000	0
865.000000	0
845.000000	0
870.000000	0
875.000000	0
865.000000	0
830.000000	0
865.000000	0
865.000000	0
865.000000	0
860.000000	0
855.000000	0
875.000000	0
890.000000	0
870.000000	0
850.000000	0
875.000000	0
885.000000	0
885.000000	0
865.000000	0
850.000000	0
870.000000	0
885.000000	0
870.000000	0
855.000000	0
870.000000	0
895.000000	0
870.000000	0
860.000000	0
870.000000	0
905.000000	0
905.000000	0
885.000000	0
875.000000	0
900.000000	0
925.000000	0
890.000000	0
860.000000	0
880.000000	0
910.000000	0
885.000000	0
855.000000	0
890.000000	0
895.000000	0
895.000000	0
865.000000	0
865.000000	0
865.000000	0
880.000000	0
860.000000	0
840.000000	0
865.000000	0
875.000000	0
860.000000	0
850.000000	0
855.000000	0
865.000000	0
875.000000	0
860.000000	0
855.000000	0
885.000000	0
885.000000	0
865.000000	0
875.000000	0
885.000000	0
890.000000	0
865.000000	0
845.000000	0
870.000000	0
885.000000	0
860.000000	0
830.000000	0
855.000000	0
875.000000	0
860.000000	0
855.000000	0
845.000000	0
865.000000	0
880.000000	0
860.000000	0
855.000000	0
855.000000	0
870.000000	0
870.000000	0
850.000000	0
860.000000	0
875.000000	0
855.000000	0
855.000000	0
880.000000	0
870.000000	0
855.000000	0
850.000000	0
865.000000	0
885.000000	0
860.000000	0
840.000000	0
870.000000	0
890.000000	0
875.000000	0
835.000000	0
870.000000	0
885.000000	0
875.000000	0
840.000000	0
870.000000	0
890.000000	0
890.000000	0
860.000000	0
860.000000	0
880.000000	0
870.000000	0
850.000000	0
850.000000	0
865.000000	0
865.000000	0
845.000000	0
835.000000	0
860.000000	0
870.000000	0
860.000000	0
830.000000	0
865.000000	0
875.000000	0
860.000000	0
850.000000	0
850.000000	0
865.000000	0
870.000000	0
860.000000	0
840.000000	0
875.000000	0
900.000000	0
885.000000	0
855.000000	0
875.000000	0
890.000000	0
865.000000	0
845.000000	0
845.000000	0
855.000000	0
870.000000	0
855.000000	0
830.000000	0
865.000000	0
875.000000	0
865.000000	0
850.000000	0
860.000000	0
870.000000	0
885.000000	0
865.000000	0
860.000000	0
875.000000	0
890.000000	0
860.000000	0
840.000000	0
875.000000	0
885.000000	0
860.000000	0
845.000000	0
850.000000	0
855.000000	0
865.000000	0
850.000000	0
840.000000	0
865.000000	0
880.000000	0
860.000000	0
835.000000	0
865.000000	0
880.000000	0
870.000000	0
855.000000	0
855.000000	0
870.000000	0
885.000000	0
860.000000	0
840.000000	0
870.000000	0
890.000000	0
875.000000	0
865.000000	0
860.000000	0
870.000000	0
885.000000	0
860.000000	0
850.000000	0
870.000000	0
885.000000	0
860.000000	0
850.000000	0
845.000000	0
860.000000	0
865.000000	0
860.000000	0
840.000000	0
855.000000	0
870.000000	0
855.000000	0
850.000000	0
855.000000	0
875.000000	0
885.000000	0
870.000000	0
860.000000	0
880.000000	0
910.000000	0
875.000000	0
850.000000	0
860.000000	0
875.000000	0
885.000000	0
870.000000	0
870.000000	0
900.000000	0
945.000000	0
925.000000	0
870.000000	0
910.000000	0
930.000000	0
935.000000	0
895.000000	0
865.000000	0
875.000000	0
890.000000	0
895.000000	0
875.000000	0
855.000000	0
880.000000	0
895.000000	0
880.000000	0
865.000000	0
880.000000	0
915.000000	0
910.000000	0
885.000000	0
880.000000	0
900.000000	0
900.000000	0
885.000000	0
860.000000	0
880.000000	0
900.000000	0
870.000000	0
860.000000	0
860.000000	0
885.000000	0
880.000000	0
860.000000	0
850.000000	0
855.000000	0
895.000000	0
870.000000	0
855.000000	0
855.000000	0
885.000000	0
885.000000	0
870.000000	0
845.000000	0
870.000000	0
895.000000	0
870.000000	0
855.000000	0
860.000000	0
890.000000	0
880.000000	0
855.000000	0
860.000000	0
880.000000	0
895.000000	0
880.000000	0
860.000000	0
870.000000	0
885.000000	0
875.000000	0
865.000000	0
850.000000	0
875.000000	0
890.000000	0
870.000000	0
845.000000	0
865.000000	0
880.000000	0
870.000000	0
835.000000	0
865.000000	0
885.000000	0
885.000000	0
875.000000	0
860.000000	0
885.000000	0
900.000000	0
885.000000	0
845.000000	0
880.000000	0
890.000000	0
865.000000	0
845.000000	0
850.000000	0
855.000000	0
870.000000	0
860.000000	0
835.000000	0
870.000000	0
880.000000	0
865.000000	0
855.000000	0
860.000000	0
885.000000	0
860.000000	0
845.000000	0
855.000000	0
870.000000	0
860.000000	0
845.000000	0
855.000000	0
865.000000	0
875.000000	0
870.000000	0
845.000000	0
875.000000	0
895.000000	0
880.000000	0
855.000000	0
855.000000	0
870.000000	0
875.000000	0
860.000000	0
835.000000	0
860.000000	0
880.000000	0
865.000000	0
845.000000	0
875.000000	0
900.000000	0
875.000000	0
860.000000	0
855.000000	0
880.000000	0
885.000000	0
870.000000	0
855.000000	0
885.000000	0
900.000000	0
885.000000	0
845.000000	0
885.000000	0
890.000000	0
895.000000	0
870.000000	0
845.000000	0
870.000000	0
890.000000	0
860.000000	0
835.000000	0
865.000000	0
875.000000	0
860.000000	0
855.000000	0
860.000000	0
865.000000	0
885.000000	0
865.000000	0
840.000000	0
865.000000	0
875.000000	0
865.000000	0
850.000000	0
840.000000	0
860.000000	0
885.000000	0
865.000000	0
840.000000	0
880.000000	0
890.000000	0
880.000000	0
870.000000	0
860.000000	0
875.000000	0
895.000000	0
865.000000	0
845.000000	0
875.000000	0
890.000000	0
870.000000	0
835.000000	0
870.000000	0
875.000000	0
870.000000	0
860.000000	0
855.000000	0
875.000000	0
885.000000	0
860.000000	0
860.000000	0
880.000000	0
885.000000	0
865.000000	0
840.000000	0
870.000000	0
875.000000	0
850.000000	0
825.000000	0
860.000000	0
880.000000	0
885.000000	0
870.000000	0
870.000000	0
880.000000	0
915.000000	0
895.000000	0
865.000000	0
900.000000	0
915.000000	0
890.000000	0
865.000000	0
865.000000	0
870.000000	0
880.000000	0
865.000000	0
855.000000	0
865.000000	0
890.000000	0
870.000000	0
845.000000	0
855.000000	0
875.000000	0
855.000000	0
845.000000	0
845.000000	0
855.000000	0
855.000000	0
850.000000	0
820.000000	0
850.000000	0
865.000000	0
850.000000	0
850.000000	0
840.000000	0
860.000000	0
865.000000	0
855.000000	0
835.000000	0
850.000000	0
870.000000	0
855.000000	0
830.000000	0
865.000000	0
880.000000	0
875.000000	0
865.000000	0
860.000000	0
880.000000	0
890.000000	0
865.000000	0
840.000000	0
855.000000	0
870.000000	0
855.000000	0
845.000000	0
850.000000	0
865.000000	0
880.000000	0
855.000000	0
840.000000	0
865.000000	0
875.000000	0
865.000000	0
855.000000	0
840.000000	0
850.000000	0
870.000000	0
855.000000	0
840.000000	0
880.000000	0
885.000000	0
870.000000	0
845.000000	0
865.000000	0
880.000000	0
885.000000	0
880.000000	0
890.000000	0
910.000000	0
915.000000	0
885.000000	0
885.000000	0
900.000000	0
905.000000	0
880.000000	0
865.000000	0
875.000000	0
895.000000	0
875.000000	0
860.000000	0
860.000000	0
865.000000	0
880.000000	0
860.000000	0
835.000000	0
855.000000	0
865.000000	0
855.000000	0
835.000000	0
875.000000	0
900.000000	0
885.000000	0
870.000000	0
890.000000	0
910.000000	0
930.000000	0
890.000000	0
865.000000	0
885.000000	0
905.000000	0
885.000000	0
865.000000	0
865.000000	0
880.000000	0
895.000000	0
870.000000	0
855.000000	0
880.000000	0
885.000000	0
890.000000	0
865.000000	0
855.000000	0
865.000000	0
875.000000	0
860.000000	0
835.000000	0
855.000000	0
875.000000	0
860.000000	0
835.000000	0
875.000000	0
890.000000	0
870.000000	0
845.000000	0
880.000000	0
900.000000	0
870.000000	0
845.000000	0
880.000000	0
905.000000	0
880.000000	0
860.000000	0
860.000000	0
870.000000	0
880.000000	0
860.000000	0
840.000000	0
860.000000	0
890.000000	0
900.000000	0
870.000000	0
930.000000	0
940.000000	0
940.000000	0
905.000000	0
895.000000	0
900.000000	0
925.000000	0
890.000000	0
855.000000	0
880.000000	0
895.000000	0
900.000000	0
870.000000	0
865.000000	0
875.000000	0
895.000000	0
885.000000	0
855.000000	0
860.000000	0
870.000000	0
875.000000	0
860.000000	0
850.000000	0
860.000000	0
885.000000	0
870.000000	0
855.000000	0
845.000000	0
850.000000	0
875.000000	0
860.000000	0
845.000000	0
845.000000	0
865.000000	0
850.000000	0
855.000000	0
855.000000	0
880.000000	0
905.000000	0
875.000000	0
855.000000	0
865.000000	0
880.000000	0
885.000000	0
850.000000	0
835.000000	0
855.000000	0
870.000000	0
870.000000	0
850.000000	0
855.000000	0
875.000000	0
895.000000	0
865.000000	0
835.000000	0
860.000000	0
870.000000	0
870.000000	0
860.000000	0
860.000000	0
870.000000	0
885.000000	0
860.000000	0
835.000000	0
845.000000	0
875.000000	0
905.000000	0
890.000000	0
860.000000	0
890.000000	0
930.000000	0
910.000000	0
880.000000	0
870.000000	0
875.000000	0
895.000000	0
880.000000	0
840.000000	0
870.000000	0
880.000000	0
875.000000	0
860.000000	0
850.000000	0
865.000000	0
885.000000	0
865.000000	0
850.000000	0
870.000000	0
880.000000	0
865.000000	0
855.000000	0
840.000000	0
850.000000	0
870.000000	0
855.000000	0
825.000000	0
850.000000	0
880.000000	0
860.000000	0
835.000000	0
860.000000	0
885.000000	0
895.000000	0
870.000000	0
865.000000	0
880.000000	0
915.000000	0
885.000000	0
845.000000	0
870.000000	0
880.000000	0
875.000000	0
865.000000	0
865.000000	0
880.000000	0
895.000000	0
860.000000	0
845.000000	0
875.000000	0
875.000000	0
855.000000	0
830.000000	0
855.000000	0
865.000000	0
870.000000	0
850.000000	0
835.000000	0
855.000000	0
870.000000	0
860.000000	0
840.000000	0
870.000000	0
875.000000	0
865.000000	0
855.000000	0
845.000000	0
865.000000	0
875.000000	0
865.000000	0
825.000000	0
855.000000	0
870.000000	0
860.000000	0
840.000000	0
845.000000	0
860.000000	0
895.000000	0
875.000000	0
845.000000	0
870.000000	0
890.000000	0
870.000000	0
835.000000	0
860.000000	0
870.000000	0
885.000000	0
865.000000	0
845.000000	0
885.000000	0
915.000000	0
895.000000	0
850.000000	0
875.000000	0
875.000000	0
870.000000	0
860.000000	0
850.000000	0
860.000000	0
865.000000	0
855.000000	0
830.000000	0
850.000000	0
865.000000	0
855.000000	0
850.000000	0
835.000000	0
860.000000	0
870.000000	0
865.000000	0
840.000000	0
860.000000	0
880.000000	0
870.000000	0
850.000000	0
845.000000	0
845.000000	0
875.000000	0
840.000000	0
825.000000	0
850.000000	0
860.000000	0
890.000000	0
860.000000	0
840.000000	0
840.000000	0
845.000000	0
890.000000	0
875.000000	0
860.000000	0
890.000000	0
920.000000	0
900.000000	0
875.000000	0
865.000000	0
895.000000	0
895.000000	0
865.000000	0
845.000000	0
865.000000	0
880.000000	0
880.000000	0
865.000000	0
840.000000	0
865.000000	0
875.000000	0
855.000000	0
835.000000	0
860.000000	0
870.000000	0
855.000000	0
845.000000	0
840.000000	0
855.000000	0
855.000000	0
840.000000	0
840.000000	0
850.000000	0
875.000000	0
860.000000	0
830.000000	0
865.000000	0
880.000000	0
870.000000	0
850.000000	0
855.000000	0
885.000000	0
870.000000	0
850.000000	0
850.000000	0
870.000000	0
865.000000	0
850.000000	0
845.000000	0
860.000000	0
885.000000	0
865.000000	0
830.000000	0
860.000000	0
870.000000	0
855.000000	0
830.000000	0
850.000000	0
870.000000	0
855.000000	0
845.000000	0
840.000000	0
865.000000	0
880.000000	0
875.000000	0
835.000000	0
860.000000	0
875.000000	0
860.000000	0
845.000000	0
845.000000	0
850.000000	0
855.000000	0
845.000000	0
825.000000	0
845.000000	0
865.000000	0
850.000000	0
830.000000	0
870.000000	0
885.000000	0
880.000000	0
860.000000	0
855.000000	0
865.000000	0
870.000000	0
850.000000	0
830.000000	0
840.000000	0
865.000000	0
845.000000	0
840.000000	0
840.000000	0
855.000000	0
875.000000	0
855.000000	0
850.000000	0
860.000000	0
895.000000	0
870.000000	0
840.000000	0
865.000000	0
870.000000	0
860.000000	0
830.000000	0
855.000000	0
875.000000	0
855.000000	0
855.000000	0
855.000000	0
860.000000	0
855.000000	0
845.000000	0
835.000000	0
855.000000	0
875.000000	0
860.000000	0
835.000000	0
860.000000	0
875.000000	0
880.000000	0
855.000000	0
855.000000	0
865.000000	0
880.000000	0
855.000000	0
850.000000	0
860.000000	0
885.000000	0
875.000000	0
840.000000	0
875.000000	0
890.000000	0
875.000000	0
855.000000	0
855.000000	0
885.000000	0
875.000000	0
855.000000	0
855.000000	0
875.000000	0
885.000000	0
865.000000	0
835.000000	0
865.000000	0
860.000000	0
860.000000	0
845.000000	0
830.000000	0
850.000000	0
875.000000	0
860.000000	0
830.000000	0
860.000000	0
870.000000	0
860.000000	0
855.000000	0
850.000000	0
860.000000	0
1735.000000	3
845.000000	0
875.000000	0
885.000000	0
865.000000	0
850.000000	0
855.000000	0
865.000000	0
860.000000	0
845.000000	0
845.000000	0
850.000000	0
870.000000	0
850.000000	0
830.000000	0
860.000000	0
875.000000	0
865.000000	0
855.000000	0
850.000000	0
860.000000	0
885.000000	0
865.000000	0
835.000000	0
870.000000	0
885.000000	0
865.000000	0
855.000000	0
845.000000	0
875.000000	0
860.000000	0
850.000000	0
845.000000	0
860.000000	0
860.000000	0
855.000000	0
835.000000	0
850.000000	0
865.000000	0
850.000000	0
830.000000	0
855.000000	0
880.000000	0
865.000000	0
840.000000	0
855.000000	0
870.000000	0
905.000000	0
875.000000	0
850.000000	0
875.000000	0
885.000000	0
885.000000	0
860.000000	0
850.000000	0
855.000000	0
880.000000	0
865.000000	0
845.000000	0
875.000000	0
890.000000	0
875.000000	0
855.000000	0
865.000000	0
880.000000	0
895.000000	0
865.000000	0
845.000000	0
865.000000	0
875.000000	0
865.000000	0
850.000000	0
840.000000	0
845.000000	0
870.000000	0
855.000000	0
845.000000	0
835.000000	0
850.000000	0
865.000000	0
855.000000	0
845.000000	0
845.000000	0
870.000000	0
865.000000	0
855.000000	0
855.000000	0
875.000000	0
880.000000	0
865.000000	0
865.000000	0
885.000000	0
915.000000	0
895.000000	0
885.000000	0
910.000000	0
925.000000	0
890.000000	0
875.000000	0
885.000000	0
910.000000	0
875.000000	0
845.000000	0
865.000000	0
880.000000	0
860.000000	0
840.000000	0
850.000000	0
870.000000	0
865.000000	0
850.000000	0
845.000000	0
880.000000	0
895.000000	0
870.000000	0
845.000000	0
875.000000	0
885.000000	0
865.000000	0
850.000000	0
855.000000	0
865.000000	0
875.000000	0
845.000000	0
845.000000	0
860.000000	0
870.000000	0
860.000000	0
830.000000	0
860.000000	0
870.000000	0
855.000000	0
830.000000	0
855.000000	0
865.000000	0
845.000000	0
820.000000	0
